regions,county,primary_city,zip
,Ogle County,Mount Morris,61054
,Lee County,Nachusa,61057
,Jo Daviess County,Nora,61059
,Stephenson County,Orangeville,61060
,Ogle County,Oregon,61061
,Stephenson County,Pearl City,61062
,Winnebago County,Pecatonica,61063
,Stephenson County,Ridott,61067
,Stephenson County,Rock City,61070
,Carroll County,Savanna,61074
,Jo Daviess County,Scales Mound,61075
,Winnebago County,Seward,61077
,Carroll County,Shannon,61078
,Winnebago County,Shirland,61079
,Jo Daviess County,Stockton,61085
,Jo Daviess County,Warren,61087
,Winnebago County,Winnebago,61088
,Stephenson County,Winslow,61089
,Ogle County,Woosung,61091
,Winnebago County,Rockford,61105
,Winnebago County,Rockford,61106
,Winnebago County,Rockford,61110
,Winnebago County,Rockford,61112
,Winnebago County,Rockford,61125
,Winnebago County,Rockford,61126
,Winnebago County,Loves Park,61130
,Winnebago County,Loves Park,61131
,Winnebago County,Loves Park,61132
,Rock Island County,Rock Island,61204
,Whiteside County,Albany,61230
,Mercer County,Aledo,61231
,Rock Island County,Andalusia,61232
,Henry County,Andover,61233
,Henry County,Annawan,61234
,Rock Island County,Barstow,61236
,Rock Island County,Buffalo Prairie,61237
,Henry County,Cambridge,61238
,Rock Island County,Carbon Cliff,61239
,Rock Island County,Cordova,61242
,Whiteside County,Deer Grove,61243
,Whiteside County,Erie,61250
,Whiteside County,Fenton,61251
,Rock Island County,Hampton,61256
,Rock Island County,Hillsdale,61257
,Henry County,Hooppole,61258
,Rock Island County,Illinois City,61259
,Mercer County,Joy,61260
,Whiteside County,Lyndon,61261
,Henry County,Lynn Center,61262
,Mercer County,Matherville,61263
,Rock Island County,Moline,61266
,Mercer County,New Boston,61272
,Henry County,Orion,61273
,Henry County,Osco,61274
,Mercer County,Preemption,61276
,Whiteside County,Prophetstown,61277
,Rock Island County,Rapids City,61278
,Rock Island County,Reynolds,61279
,Mercer County,Sherrard,61281
,Whiteside County,Tampico,61283
,Rock Island County,Taylor Ridge,61284
,Carroll County,Thomson,61285
,Rock Island County,Rock Island,61299
,LaSalle County,La Salle,61301
,Lee County,Amboy,61310
,Livingston County,Ancona,61311
,Bureau County,Arlington,61312
,Livingston County,Blackstone,61313
,Bureau County,Buda,61314
,Bureau County,Bureau,61315
,LaSalle County,Cedar Point,61316
,Bureau County,Cherry,61317
,Lee County,Compton,61318
,Livingston County,Cornell,61319
,Bureau County,Dalzell,61320
,LaSalle County,Dana,61321
,Bureau County,Depue,61322
,Bureau County,Dover,61323
,Lee County,Eldena,61324
,LaSalle County,Grand Ridge,61325
,Putnam County,Granville,61326
,Putnam County,Hennepin,61327
,Bureau County,Kasbeer,61328
,Bureau County,Ladd,61329
,Bureau County,La Moille,61330
,Lee County,Lee Center,61331
,LaSalle County,Leonore,61332
,Livingston County,Long Point,61333
,LaSalle County,Lostant,61334
,Putnam County,Mc Nabb,61335
,Putnam County,Magnolia,61336
,Bureau County,Malden,61337
,Bureau County,Manlius,61338
,Putnam County,Mark,61340
,Bureau County,Mineral,61344
,Bureau County,Neponset,61345
,Bureau County,New Bedford,61346
,LaSalle County,Oglesby,61348
,Bureau County,Ohio,61349
,Lee County,Paw Paw,61353
,LaSalle County,Peru,61354
,LaSalle County,Rutland,61358
,Bureau County,Seatonville,61359
,LaSalle County,Seneca,61360
,Bureau County,Sheffield,61361
,Bureau County,Spring Valley,61362
,Putnam County,Standard,61363
,LaSalle County,Streator,61364
,Lee County,Sublette,61367
,Bureau County,Tiskilwa,61368
,Marshall County,Toluca,61369
,LaSalle County,Tonica,61370
,La Salle County,Triumph,61371
,LaSalle County,Troy Grove,61372
,LaSalle County,Utica,61373
,Bureau County,Van Orin,61374
,Marshall County,Varna,61375
,Bureau County,Walnut,61376
,Marshall County,Wenona,61377
,Lee County,West Brooklyn,61378
,Bureau County,Wyanet,61379
,Knox County,Galesburg,61402
,Knox County,Abingdon,61410
,McDonough County,Adair,61411
,Warren County,Alexis,61412
,Henry County,Alpha,61413
,Knox County,Altona,61414
,Fulton County,Avon,61415
,McDonough County,Bardolph,61416
,Warren County,Berwick,61417
,Henderson County,Biggsville,61418
,Henry County,Bishop Hill,61419
,McDonough County,Blandinsville,61420
,Stark County,Bradford,61421
,McDonough County,Bushnell,61422
,Warren County,Cameron,61423
,Marshall County,Camp Grove,61424
,Henderson County,Carman,61425
,Stark County,Castleton,61426
,Fulton County,Cuba,61427
,Knox County,Dahinda,61428
,Knox County,East Galesburg,61430
,Fulton County,Ellisville,61431
,Fulton County,Fairview,61432
,Fulton County,Fiatt,61433
,Henry County,Galva,61434
,Warren County,Gerlaw,61435
,Knox County,Gilson,61436
,Henderson County,Gladstone,61437
,McDonough County,Good Hope,61438
,Knox County,Henderson,61439
,McDonough County,Industry,61440
,Fulton County,Ipava,61441
,Mercer County,Keithsburg,61442
,Warren County,Kirkwood,61447
,Knox County,Knoxville,61448
,Stark County,La Fayette,61449
,Hancock County,La Harpe,61450
,Peoria County,Laura,61451
,Schuyler County,Littleton,61452
,Warren County,Little York,61453
,Henderson County,Lomax,61454
,Knox County,Maquon,61458
,Fulton County,Marietta,61459
,Henderson County,Media,61460
,Mercer County,New Windsor,61465
,Mercer County,North Henderson,61466
,Knox County,Oneida,61467
,Henry County,Ophiem,61468
,Henderson County,Oquawka,61469
,McDonough County,Prairie City,61470
,Henderson County,Raritan,61471
,Knox County,Rio,61472
,Warren County,Roseville,61473
,Knox County,Saint Augustine,61474
,McDonough County,Sciota,61475
,Mercer County,Seaton,61476
,Fulton County,Smithfield,61477
,Warren County,Smithshire,61478
,Stark County,Speer,61479
,Henderson County,Stronghurst,61480
,Fulton County,Table Grove,61482
,Stark County,Toulon,61483
,Fulton County,Vermont,61484
,Knox County,Victoria,61485
,Mercer County,Viola,61486
,Knox County,Wataga,61488
,Knox County,Williamsfield,61489
,Henry County,Woodhull,61490
,Stark County,Wyoming,61491
,Fulton County,Astoria,61501
,Woodford County,Benson,61516
,Peoria County,Brimfield,61517
,Fulton County,Bryant,61519
,Fulton County,Canton,61520
,Peoria County,Chillicothe,61523
,Fulton County,Dunfermline,61524
,Peoria County,Edelstein,61526
,Peoria County,Edwards,61528
,Peoria County,Elmwood,61529
,Woodford County,Eureka,61530
,Fulton County,Farmington,61531
,Mason County,Forest City,61532
,Peoria County,Glasford,61533
,Tazewell County,Green Valley,61534
,Tazewell County,Groveland,61535
,Peoria County,Hanna City,61536
,Marshall County,Henry,61537
,Peoria County,Kingston Mines,61539
,Marshall County,Lacon,61540
,Marshall County,La Rose,61541
,Fulton County,Lewistown,61542
,Fulton County,Liverpool,61543
,Fulton County,London Mills,61544
,Woodford County,Lowpoint,61545
,Mason County,Manito,61546
,Peoria County,Mapleton,61547
,Tazewell County,Morton,61550
,Peoria County,Mossville,61552
,Fulton County,Norris,61553
,Tazewell County,Pekin,61555
,Tazewell County,Pekin,61558
,Peoria County,Princeville,61559
,Putnam County,Putnam,61560
,Woodford County,Roanoke,61561
,Peoria County,Rome,61562
,Fulton County,Saint David,61563
,Tazewell County,South Pekin,61564
,Marshall County,Sparland,61565
,Mason County,Topeka,61567
,Tazewell County,Tremont,61568
,Peoria County,Trivoli,61569
