"","2020-04-11","2020-04-13","2020-04-20","2020-04-21","2020-04-23","2020-04-25","2020-04-27","2020-04-28","2020-04-29","2020-04-30","2020-05-01","2020-05-04","2020-05-05","2020-05-06","county","population_2015","primary_city","zip"
"843",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Knox County",1030,"Oneida",61467
"844",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Henry County",94,"Ophiem",61468
"845",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Henderson County",1700,"Oquawka",61469
"846",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"McDonough County",450,"Prairie City",61470
"847",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Henderson County",128,"Raritan",61471
"848",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Knox County",590,"Rio",61472
"849",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Warren County",1410,"Roseville",61473
"850",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Knox County",260,"Saint Augustine",61474
"851",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"McDonough County",210,"Sciota",61475
"852",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mercer County",390,"Seaton",61476
"853",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fulton County",520,"Smithfield",61477
"854",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Warren County",280,"Smithshire",61478
"855",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Stark County",181,"Speer",61479
"856",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Henderson County",1180,"Stronghurst",61480
"857",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fulton County",590,"Table Grove",61482
"858",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Stark County",1680,"Toulon",61483
"859",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fulton County",720,"Vermont",61484
"860",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Knox County",550,"Victoria",61485
"861",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mercer County",1400,"Viola",61486
"862",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Knox County",990,"Wataga",61488
